KinkyDungeonCredits,크레딧
KDDoorknobAttractArms,누군가 당신이 문을 만지작거리는 것을 알아차리고 반대편에서 문을 엽니다!
KDDoorknobSuccess,걸쇠가 완전히 맞물리지 않아 문이 삐걱거리며 열립니다.
KDDoorknobSuccessArms,손목으로 문 손잡이를 잡고 구부려서 엽니다.
KDDoorknobFeet,유연한 발을 사용하여 문을 엽니다.
KinkyDungeonStatSelfMiscast,부실한 기술
KinkyDungeonStatDescSelfMiscast,대부분의 잘못 캐스팅된 투사체와 범위 주문은 사그러드는 대신 당신을 목표로 삼을 것입니다.
KinkyDungeonStatTicklish,간지럼을 잘탐
KinkyDungeonStatDescTicklish,50% 간지럼 피해를 더 받습니다.
KinkyDungeonStatStoic,금욕 주의자
KinkyDungeonStatDescStoic,+82 간지럼 저항을 얻습니다.
KinkyDungeonStatLascivious,음탕함
KinkyDungeonStatDescLascivious,더듬이 피해를 50% 더 받습니다.
KinkyDungeonStatUnperturbed,침착함
KinkyDungeonStatDescUnperturbed,더듬이 저항 +82를 얻습니다.
KinkyDungeonStatMasochist,마조히스트
KinkyDungeonStatDescMasochist,고통이 흥분을 유발합니다.
KinkyDungeonStatPainTolerance,통증 내성
KinkyDungeonStatDescPainTolerance,고통 저항이 +200 증가합니다.
KinkyDungeonStatKeepOutfit,유행
KinkyDungeonStatDescKeepOutfit,감옥에 갇혔을 때 옷은 그대로 둔다.
KinkyDungeonStatFutileStruggles,쓸데없는 투쟁
KinkyDungeonStatDescFutileStruggles,사소하지 않은 구속을 제거할 때마다 2 WP를 잃습니다.
KinkyDungeonStatSecondWind,세컨드 윈드
KinkyDungeonStatDescSecondWind,"팔, 손, 다리, 눈가리개, 재갈, 느려짐이 없는 경우 최대 WP의 10%까지 WP를 재생합니다. (주문 트리에 업그레이드 가능)"
KinkyDungeonSpellSecondWind0,세컨드 윈드 퍼크
KinkyDungeonSpellDescriptionSecondWind0,"무장해제 상태에서 최대 WP의 10%까지 WP를 재생합니다. 무장해제 상태는 팔, 손, 다리, 눈가리개 또는 재갈이 물린 상태가 아니고 둔화되지 않는 상태를 의미합니다."
KinkyDungeonSpellSecondWind1,승리의 바람
KinkyDungeonSpellDescriptionSecondWind1,세컨드 윈드는 이제 최대 WP의 25%까지 재생됩니다.
KinkyDungeonSpellFirstWind,정신적 반항
KinkyDungeonSpellDescriptionFirstWind,"패시브: 가장자리에서 WP를 잃거나, 떼어내거나, 놀리는 피해 저장소 'Defiance'를 잃으면 누락된 DP 값으로 제한됩니다. 토글: WP가 25% 미만일 때 'Defiance'를 WP로 빠르게 변환합니다."
KinkyDungeonSpellFirstWindHigher,정신적 강인함
KinkyDungeonSpellDescriptionFirstWindHigher,"패시브: 가장자리에서 WP를 잃거나, 버리거나, 놀리는 피해 저장소 'Defiance'를 잃으면 누락된 DP 값으로 제한됩니다. 토글: WP가 75% 이상 100% 미만일 때 'Defiance'를 WP로 빠르게 변환합니다. Mental Defiance와 독점적입니다."
KinkyDungeonStatLockedUp,잠김
KinkyDungeonStatDescLockedUp,정조대를 착용한 상태에서 적을 쓰러뜨리거나 상자를 열거나 보주를 부수는 등의 행동을 하면 욕망이 감소합니다. (주문 트리에서 업그레이드 가능)
KinkyDungeonSpellLockedUp0,잠긴 특전
KinkyDungeonSpellDescriptionLockedUp0,"정조대를 착용하고 있는 동안, 적을 사냥하거나 상자를 열거나 오브를 부수는 등의 행동을 하면 욕망이 감소합니다."
KinkyDungeonSpellLockedUp1,억제된 욕구
KinkyDungeonSpellDescriptionLockedUp1,Locked Up은 150% 효과적입니다. 순결 벨트에서 +70 심령/매력 저항을 얻고 순결 브래지어에서 +30을 얻습니다. 순결 벨트를 착용하지 않을 때 욕망이 천천히 증가합니다.
KinkyDungeonSpellLockedUp2,훈련 준비
KinkyDungeonSpellDescriptionLockedUp2,잠김은 200% 효과적입니다. 현재 DP 100당 스태미나 재생 +25%. 진동기가 꺼지거나 가장자리에 설정되어 있는 동안 자위를 하면 효과가 떨어집니다. 순속 수준은 순결한 상태가 아닌 경우 1씩 증가합니다.
KinkyDungeonSpellLockedUp3,효율적인 거부
KinkyDungeonSpellDescriptionLockedUp3,Locked Up은 300% 효과적입니다. Locked Up이 작동하면 7턴 동안 마나 비용이 -30% 증가하고 물리적 피해가 +25% 증가합니다(상자를 열거나 오라를 깨면 35). 순결 벨트를 착용하지 않으면 오르가슴을 느끼지 못하며 둔화 수준이 2 증가합니다.
KinkyDungeonSpellLockedUpX,고집 센
KinkyDungeonSpellDescriptionLockedUpX,잠긴 보주를 포기합니다. 한 번만. 보주를 다시 받으면 되돌릴 수 없습니다.
KinkyDungeonStatNovicePet,초보자 애완 동물
KinkyDungeonStatDescNovicePet,이제 펫슈트를 입고 전력질주할 수 있습니다. (주문 트리에서 업그레이드 가능)
KinkyDungeonSpellNovicePet0,초보자 애완 동물 훈련
KinkyDungeonSpellDescriptionNovicePet0,이제 펫슈트를 입고 전력질주할 수 있습니다.
KinkyDungeonSpellNovicePet1,열정적인 애완동물
KinkyDungeonSpellDescriptionNovicePet1,"펫슈트를 착용 중인 동안 둔화 감소 +1, 펫슈트를 착용하지 않을 때는 스프린트 비용이 30% 증가합니다."
KinkyDungeonSpellNovicePet2,경험 많은 애완동물
KinkyDungeonSpellDescriptionNovicePet2,"펫슈트를 착용하는 동안 총 둔화 감소 +2(이전 +1), 펫슈트를 착용하지 않을 때는 스프린트 비용이 100%(이전 30%) 증가하고 둔화 레벨이 +1 증가합니다."
KinkyDungeonSpellNovicePet3,헌신적인 애완 동물
KinkyDungeonSpellDescriptionNovicePet3,"펫슈트를 착용하는 동안 총 -3 슬로우 감소(원래 +2), 펫슈트를 착용하지 않으면 스프린트를 할 수 없으며(원래 +100% 비용), 슬로우 레벨이 +2 증가합니다(원래 +1)."
KinkyDungeonSpellNovicePetX,나쁜 애완동물
KinkyDungeonSpellDescriptionNovicePetX,초보자 애완동물 특전을 포기합니다. 한 번만. 특전을 다시 받으면 후퇴할 수 없습니다.
KinkyDungeonBuffNovicePet,당신은 펫슈트를 입는 전문가이고 당신의 기동성이 증가했습니다.
KinkyDungeonBuffNovicePetBad,당신은 펫슈트를 입는 데 너무 익숙해졌습니다! 스프린트가 손상되었습니다.
KinkyDungeonBuffNovicePetVeryBad,당신은 불순종적인 애완 동물입니다. 당신은 펫슈트를 입어야 합니다!
KinkyDungeonStatDominant,우성
KDPersonalityDom,우성
KinkyDungeonStatDescDominant,그들은 당신과 함께 여기에 갇혀 있습니다. 유령이 더 도움이 되고 당신은 속박에 대해 당신과 맞서는 적을 묶을 수 있습니다.
KinkyDungeonStatStranger,낯선 사람
KinkyDungeonStatDescStranger,대부분의 파벌과의 관계를 무작위로 지정합니다.
KinkyDungeonStatWrongNeighborhood,잘못된 이웃
KinkyDungeonStatDescWrongNeighborhood,모든 파벌이 당신에게 적대적이며 단합되어 있습니다.
KDPaletteBandit,적기
NamePrisonerBandit,적기
KinkyDungeonStatBandit,적기
m_Bandit,적기
NameBandit,적기
KinkyDungeonStatDescBandit,도적에게 우호적이고 다른 대부분의 파벌에 적대적으로 시작합니다.
KinkyDungeonStatTrespasser,불법 침입자
KinkyDungeonStatDescTrespasser,한 층 올라갈 때마다 여신들 사이에서 명성을 잃습니다.
KDPaletteJail,죄인
KDPrisonerStatus,죄인
KinkyDungeonStatPrisoner,죄인
KinkyDungeonStatDescPrisoner,복도를 배회하는 순종적인 죄수로 게임을 시작하십시오.
KinkyDungeonStatRusted,녹슨 볼트
KinkyDungeonStatDescRusted,대부분의 함정은 발을 디딜 때마다 25%의 오발률을 가지고 있습니다.
KinkyDungeonStatNoPet,애완동물 아님
KinkyDungeonStatDescNoPet,펫슈트가 더 드물게 발생합니다.
KinkyDungeonStatUnmasked,마스크 해제
KinkyDungeonStatDescUnmasked,후드와 전면 가리는 마스크는 나오지 않지만 눈가리개가 더 강력해집니다. 기구루미 마스크는 포함되지 않습니다.
KinkyDungeonStatNoKigu,키구루미 마스크 없음
KinkyDungeonStatDescNoKigu,게임에서 얼굴을 흉내내는 마스크를 제거합니다.
KinkyDungeonStatNoHood,후드 없음
KinkyDungeonStatDescNoHood,게임에서 후드를 제거합니다.
KinkyDungeonStatNoSenseDep,감각 박탈 없음
KinkyDungeonStatDescNoSenseDep,게임에서 감각 박탈 후드/마스크를 제거합니다.
KinkyDungeonStatBlackout,정전
KinkyDungeonStatDescBlackout,눈가리개가 더 강합니다. 눈가리개를 하고 있는 동안에는 옆에 있는 적만 볼 수 있습니다.
KinkyDungeonStatNoBlindfolds,눈가리개 없음
KinkyDungeonStatDescNoBlindfolds,대부분의 경우 천 눈가리개를 쉽게 벗을 수 있는 경우를 제외하고는 눈가리개가 되지 않을 것입니다.
KinkyDungeonStatTotalBlackout,완전 블랙아웃
KinkyDungeonStatDescTotalBlackout,눈가리개는 매우 가혹합니다.
KinkyDungeonStatNearsighted,시력 저하
KinkyDungeonStatDescNearsighted,시야 반경이 크게 감소합니다.
KinkyDungeonStatKeenHearing,경청
KinkyDungeonStatDescKeenHearing,벽을 통해 적과 그들의 움직임을 더 쉽게 들을 수 있습니다.
KinkyDungeonStatArchersEye,궁수의 눈
KinkyDungeonStatDescArchersEye,시야 반경 +2.
KinkyDungeonStatNightOwl,야행성 올빼미
KinkyDungeonStatDescNightOwl,어두운 지역에서 시야가 개선됩니다.
KinkyDungeonStatNightBlindness,어둠에 대한 두려움
KinkyDungeonStatDescNightBlindness,어두운 지역에서 시야가 감소합니다.
KinkyDungeonStatMutualDarkness,상호 보장된 어둠
KinkyDungeonStatDescMutualDarkness,"어둠은 적에게서 숨는 데 2배 효과적이지만, 야간 투시 능력도 감소합니다."
KinkyDungeonStatStalker,스토커
KinkyDungeonStatDescStalker,어둠은 적에게서 숨을 때 2배 효과적입니다.
KinkyDungeonStatNoDoll,인형이 아니야
KinkyDungeonStatDescNoDoll,당신은 여전히 ​​인형 단말기에 들어갈 수 있지만 적들은 당신을 인형 받침대로 강요하지 않을 것입니다.
KinkyDungeonStatNoNurse,간호사는 없다
KinkyDungeonStatDescNoNurse,간호사가 게임에 나타나지 않습니다.
KinkyDungeonStatNoPolice,경찰 없음
KinkyDungeonStatDescNoPolice,경찰 기반 현상금 사냥꾼은 게임에 나타나지 않습니다.
KinkyDungeonStatNoBrats,노 브라츠
KinkyDungeonStatDescNoBrats,복종하는 적들은 당신에게서 도망치지 않을 것입니다.
KinkyDungeonStatOnlyBrats,브라츠 온리
KinkyDungeonStatDescOnlyBrats,복종하는 적들은 항상 뻔뻔할 것이고 당신이 그들을 붙잡도록 강요할 것입니다.
KinkyDungeonStatTapePref,더 많은 테이프
KinkyDungeonStatDescTapePref,테이프를 든 적(테이프 봇 등)이 더 자주 나타납니다.
KinkyDungeonStatTapeOptout,테이프 감소
KinkyDungeonStatDescTapeOptout,"테이프와 관련된 적이 적게 나타나지만, 테이프가 완전히 제거되지는 않습니다."
KinkyDungeonStatRobotVetoTape,테이프 봇 없음
KinkyDungeonStatDescRobotVetoTape,오래된 문명은 캡처 로봇에 테이프 기반 구속을 사용하지 않았습니다.
KinkyDungeonStatRobotVetoCable,케이블 봇 감소
KinkyDungeonStatDescRobotVetoTape,오래된 문명은 포획 로봇에서 케이블 기반 구속 장치를 훨씬 적게 사용했습니다.
KinkyDungeonStatRobotVetoResin,레진 봇 없음
KinkyDungeonStatDescRobotVetoTape,오래된 문명은 포획 로봇에 수정 수지 기반 구속을 사용하지 않았습니다.
KinkyDungeonStatRobotVetoLatex,렉스 라텍스 봇
KinkyDungeonStatDescRobotVetoTape,오래된 문명은 캡처 로봇에서 라텍스 기반 구속을 훨씬 적게 사용했습니다.
KinkyDungeonStatSlimePref,더 많은 인케이스먼트
KinkyDungeonStatDescSlimePref,"당신을 둘러싸는 적(예: 슬라임, 라텍스 큐브)이 더 자주 나타납니다."
KinkyDungeonStatSlimeOptout,적은 인클로저
KinkyDungeonStatDescSlimeOptout,"이것이 그것들을 완전히 제거하지는 않지만, 포장과 관련된 적이 적게 나타납니다."
KinkyDungeonStatBubblePref,더 많은 버블
KinkyDungeonStatDescBubblePref,"버블을 사용하는 적(예: 아쿠아 슬라임, 워터 마녀)이 더 자주 나타납니다."
KinkyDungeonStatBubbleOptout,거품 감소
KinkyDungeonStatDescBubbleOptout,거품과 관련된 적이 등장하는 횟수는 줄어들지만 완전히 제거되지는 않습니다.
KinkyDungeonStatMC_Trainee,트레이니
KinkyDungeonClassModeTrainee,트레이니
KinkyDungeonStatDescMC_Trainee,당신의 훈련은 당신에게 트레이니 클래스의 힘에 대한 접근 권한을 부여했습니다. (흥분 모드 전용)
NameAdventurer_Brat_Fighter,싸움꾼
KinkyDungeonClassModeFighter,싸움꾼
NameAdventurer_Dom_Fighter,싸움꾼
NameAdventurer_Sub_Fighter,싸움꾼
KinkyDungeonStatMC_Fighter,싸움꾼
NameAdventurer_Switch_Fighter,싸움꾼
KinkyDungeonStatDescMC_Fighter,당신의 훈련은 당신에게 전사의 힘에 접근할 수 있는 권한을 부여했습니다.
KinkyDungeonClassModeRogue,도적
KinkyDungeonStatMC_Rogue,도적
KinkyDungeonStatDescMC_Rogue,당신의 훈련은 당신에게 도적 계급의 힘에 대한 접근 권한을 부여했습니다.
KinkyDungeonClassModeMage,마법사
KinkyDungeonStatMC_Wizard,마법사
KinkyDungeonStatMC_Mage,마법사
KinkyDungeonStatDescMC_Wizard,당신의 훈련은 당신에게 마법사 클래스의 힘에 대한 접근 권한을 부여했습니다.
KinkyDungeonClassModePeasant,농부
KinkyDungeonStatMC_Peasant,농부
KinkyDungeonStatDescMC_Peasant,당신은 농부 계급의 농업 숙달을 가지고 있습니다.
KinkyDungeonStatPanic,패닉! (상자)
KinkyDungeonStatDescPanic,함정이 있는 상자를 열면 2턴 동안 기절합니다.
KinkyDungeonStatPanic2,패닉! (트랩)
KinkyDungeonStatDescPanic2,함정을 밟으면 2턴간 기절합니다.
KDPanic,공황 상태가 시작됩니다! (기절 2턴)
KinkyDungeonStatButterfingers,미끌거리는 손
KinkyDungeonStatDescButterfingers,팔을 묶으면 손을 사용하여 몸부림을 치거나 잠금을 해제할 수 없습니다.
KinkyDungeonStatWeakGrip,약한 그립
KinkyDungeonStatDescWeakGrip,팔을 묶으면 무기나 물약을 들고 다닐 수 없습니다.
KinkyDungeonCantUsePotionsKneel,당신은 물약이 입에 닿을 수 있도록 무릎을 꿇습니다...
KinkyDungeonCantUsePotionsKneelNoMouth,손이 없거나 입이 가득 차면 포션을 마실 수 없습니다.
KinkyDungeonStatIncantation,안 들려!
KinkyDungeonStatDescIncantation,재갈을 문 상태에서는 무조건 언어 주문을 시전할 수 없습니다.
KinkyDungeonStatSmoothTalker,부드러운 말
KinkyDungeonStatDescSmoothTalker,재갈을 물려도 완전히 재갈을 물린 것이 아니라면 언어 주문의 잘못된 주문 확률이 증가하지 않으며 재갈이 20% 감소합니다.
KinkyDungeonStatDescUnmasked,후드와 전면 가리는 마스크는 나오지 않지만 눈가리개가 더 강력해집니다.
KinkyDungeonStatBallGagLover,볼 개그 애호가
KinkyDungeonStatDescBallGagLover,"볼 개그 등장 증가, 입마개 등장 감소."
KinkyDungeonStatMuzzleLover,입마개 애호가
KinkyDungeonStatDescMuzzleLover,입마개 등장률이 크게 증가합니다.
KinkyDungeonStatArmbinderLover,암바인더 애호가
KinkyDungeonStatDescArmbinderLover,"더 많은 암바인더, 더 적은 구속복."
KinkyDungeonStatJacketLover,자켓 애호가
KinkyDungeonStatDescJacketLover,"더 많은 구속복, 적은 암바인더."
KinkyDungeonStatStartMaid,메이드 스위퍼
KinkyDungeonStatDescStartMaid,마법으로 잠긴 메이드 복장으로 시작합니다.
KinkyDungeonStatStartWolfgirl,늑대 훈련생
KinkyDungeonStatDescStartWolfgirl,외설적인 늑대소녀의 제복을 입고 시작합니다.
KinkyDungeonStatStartLatex,라텍스 장난감
KinkyDungeonStatDescStartLatex,사랑스러운 라텍스 구속에 묶인 상태로 시작합니다.
KinkyDungeonStatStartObsidian,원소의 노예
KinkyDungeonStatDescStartObsidian,마법으로 잠긴 흑요석 수갑 풀 세트를 장착하고 시작합니다.
KinkyDungeonSpellManaBurst,마나 버스트
KinkyDungeonStatDistractionCast,마나 버스트
KinkyDungeonStatDescDistractionCast,100% 주의 산만일 때 -100% 미스캐스트 확률을 얻지만 한 번에 너무 많은 마나를 사용하면 한계를 넘을 수 있습니다.
KinkyDungeonStatArousingMagic,흥분시키는 마법
KinkyDungeonStatDescArousingMagic,당신의 마법은 정신을 산만하게 하는 초자연적인 에너지로 강화됩니다. 주문을 시전하면 소비한 마나에 따라 정신이 산만해집니다.
KinkyDungeonStatClearheaded,깨끗한
KinkyDungeonStatDescClearheaded,마법은 정신을 맑게 해줍니다. 주문을 시전하면 산만함이 감소합니다.
KinkyDungeonStatUnidentifiedWear,알 수 없는 착용부
KinkyDungeonStatDescUnidentifiedWear,인챈티드(인챈티드) 및 저주받은 착용 가능 아이템과 무기는 아이템이 사용될 때까지 식별되지 않습니다.
KinkyDungeonCopyPerks,복사(클립보드)
KinkyDungeonPastePerks,붙여넣기(클립보드)
KDConductionDamageTaken,DAMAGEDEALT 의 전기 데미지를 입었습니다!!!
KDBurningFanFlamesDamageTaken,압력이 당신에게 불길을 부채질하여 보너스 DAMAGEDEALT 화염 피해를 입힙니다!
KinkyDungeonDrenchedSlimeBuff,RestraintName은 물이 있으면 더 쉽게 벗겨집니다!
KDSlipIce,당신은 바닥에서 미끄러!
KinkyDungeonBuffIgniteDamage,주변 공기가 불타고 있습니다! (-DamageDealt SP)
